osmid,x,y
7405013265,2.8059028,36.6984881
2994377901,2.8071628,36.6917898
9404375148,2.8072836,36.6917434
2994377900,2.8072955,36.6907973
11135527655,2.8075222,36.6946315
9404375144,2.8075858,36.691862
10887319576,2.8075977,36.6955565
10887318977,2.8077479,36.6968515
2994377902,2.8077666,36.691556
9404375126,2.8078554,36.691383
4756719187,2.808052,36.6915662
10887320670,2.8080609,36.6949492
10887319896,2.8081858,36.6952667
4756719362,2.8082541,36.6892051
4756719216,2.8083197,36.6942152
10887319036,2.8083429,36.6955179
9404375112,2.808409,36.6913996
9404375179,2.8085396,36.6941048
10887320451,2.8086168,36.6939214
7405043987,2.80862,36.6988225
9404375102,2.8086888,36.691886
4756719356,2.8087017,36.6960595
975646014,2.8087082,36.6904486
975646053,2.8088633,36.6980207
9404375101,2.8088844,36.6917399
10887318941,2.8089442,36.6964153
4756719401,2.809268,36.689689
9404375104,2.8092944,36.6923591
4756719193,2.8094145,36.6894939
9404375103,2.809508,36.6921712
11135527661,2.8095396,36.696757
4756719361,2.8096128,36.6890458
975646009,2.8096506,36.6900889
4756719339,2.8097795,36.6892893
11135527656,2.8098176,36.6966377
9404375143,2.8098553,36.6930013
975646055,2.8099179,36.6976244
975646008,2.8099687,36.6900828
4756719328,2.8103623,36.6888137
2994377909,2.8103885,36.693273
975646005,2.8104645,36.6900233
2994377897,2.8106374,36.6930315
4756719208,2.8106836,36.6899354
9404375167,2.8106841,36.6932067
975646056,2.8108305,36.6972477
4756719198,2.8109521,36.6972002
9403194161,2.8109537,36.6911108
9404375170,2.8110072,36.6935562
9404375169,2.8110994,36.6934327
4756719384,2.8111576,36.693814
9404375168,2.8114392,36.6936175
4756719340,2.8115249,36.6938225
9403194195,2.8118962,36.6918649
9404375095,2.8119724,36.6940066
4756719188,2.8120172,36.6888008
9404375096,2.8120457,36.6941963
9403194724,2.8121184,36.6931304
9403194717,2.8121711,36.6895768
9403194722,2.8121845,36.693185
4758797783,2.812362,36.6958038
2994377894,2.812365,36.6941785
9403194162,2.8123967,36.6914786
9403169514,2.8124683,36.6947776
9403194172,2.8127186,36.6912119
9403169513,2.8127584,36.6946416
9403194723,2.8127688,36.6925789
9403194721,2.8128351,36.6926332
9403194718,2.812851,36.6901153
288135454,2.8128962,36.6945741
9403194169,2.8130968,36.6888718
10887318876,2.8132683,36.7017164
9403169512,2.8133873,36.6951873
10887320513,2.8134106,36.6930874
9403194177,2.8134616,36.6905989
9403169515,2.8135467,36.6953135
9403194193,2.8136261,36.6919445
9403194720,2.8137565,36.6894079
9403169516,2.8139787,36.6954543
9403194191,2.8142316,36.6924334
9403194194,2.8144105,36.6913478
9403194179,2.8145023,36.6900139
9403194719,2.8145075,36.6888211
975646059,2.8145528,36.6959444
9403194175,2.8145732,36.6921721
10887318945,2.8147262,36.7036596
9403194192,2.815009,36.6918201
9403194181,2.8150526,36.6895604
9403194173,2.8150977,36.6931325
9403194258,2.8151826,36.6941937
1118900220,2.8153467,36.6957837
9403194174,2.8153552,36.6928013
